,Precision@k,Average Precision
0,0,0.025142773
1,0,0.027226013
2,0,0.255264085
3,0.1,0.12493802
4,0.2,0.326351594
5,0.4,0.301390771
6,0.4,0.344643907
7,0.1,0.262053282
8,0,0.048715988
9,0.6,0.34022426
10,0.3,0.131013058
11,0.4,0.281967717
12,0.2,0.313494921
13,0,0.045779578
14,0.1,0.145594678
15,0.1,0.03632922
16,0,0.065143308
17,0,0.04905666
18,0,0.119079421
19,0.1,0.09212917
20,0.5,0.328140485
21,0.1,0.0541896
22,0.3,0.121533399
23,0.2,0.121892275
24,0.3,0.29803275
25,0.2,0.280424336
26,0,0.062005791
27,0.1,0.091183231
28,0.1,0.151567071
29,0.3,0.108531305
30,0.1,0.11246137
31,0.2,0.095361737
32,0,0.017790169
33,0,0.021681548
34,0,0.040715756
35,0,0.021714597
36,0.3,0.152617544
37,0,0.115447654
38,0.3,0.294593411
39,0,0.067656911
40,0,0.128825841
41,0.1,0.026168998
42,0.5,0.32699041
43,0,0.028683541
44,0.1,0.059208412
45,0.5,0.279032963
46,0.2,0.117950353
47,0,0.043004671
48,0.2,0.122307878
49,0.2,0.293052663
50,0.3,0.324498314
,,
,mAP:,0.14985889
